ID,SUBCLASS
TEST_0241,KIRC
TEST_0242,LUSC
TEST_0243,OV
TEST_0244,KIPAN
TEST_0245,COAD
TEST_0246,PRAD
TEST_0247,GBMLGG
TEST_0248,STES
TEST_0249,LIHC
TEST_0250,PCPG
TEST_0251,BRCA
TEST_0252,COAD
TEST_0253,LAML
TEST_0254,SKCM
TEST_0255,CESC
TEST_0256,COAD
TEST_0257,PAAD
TEST_0258,COAD
TEST_0259,COAD
TEST_0260,THCA
TEST_0261,LUAD
TEST_0262,LAML
TEST_0263,LUAD
TEST_0264,GBMLGG
TEST_0265,OV
TEST_0266,SKCM
TEST_0267,KIPAN
TEST_0268,STES
TEST_0269,KIRC
TEST_0270,LUAD
TEST_0271,KIPAN
TEST_0272,GBMLGG
TEST_0273,BRCA
TEST_0274,KIRC
TEST_0275,UCEC
TEST_0276,COAD
TEST_0277,KIRC
TEST_0278,COAD
TEST_0279,COAD
TEST_0280,COAD
TEST_0281,SKCM
TEST_0282,BRCA
TEST_0283,STES
TEST_0284,HNSC
TEST_0285,DLBC
TEST_0286,UCEC
TEST_0287,KIPAN
TEST_0288,BRCA
TEST_0289,COAD
TEST_0290,COAD
TEST_0291,GBMLGG
TEST_0292,STES
TEST_0293,ACC
TEST_0294,LAML
TEST_0295,UCEC
TEST_0296,KIPAN
TEST_0297,COAD
TEST_0298,COAD
TEST_0299,UCEC
TEST_0300,COAD
TEST_0301,THCA
TEST_0302,BLCA
TEST_0303,COAD
TEST_0304,COAD
TEST_0305,LUAD
TEST_0306,LUSC
TEST_0307,THCA
TEST_0308,LUAD
TEST_0309,LUAD
TEST_0310,GBMLGG
TEST_0311,KIPAN
TEST_0312,UCEC
TEST_0313,STES
TEST_0314,COAD
TEST_0315,LIHC
TEST_0316,BRCA
TEST_0317,COAD
TEST_0318,BRCA
TEST_0319,UCEC
TEST_0320,LAML
TEST_0321,PAAD
TEST_0322,LGG
TEST_0323,COAD
TEST_0324,SKCM
TEST_0325,COAD
TEST_0326,PAAD
TEST_0327,OV
TEST_0328,KIPAN
TEST_0329,CESC
TEST_0330,COAD
TEST_0331,COAD
TEST_0332,COAD
TEST_0333,KIPAN
TEST_0334,GBMLGG
TEST_0335,LUSC
TEST_0336,SKCM
TEST_0337,COAD
TEST_0338,LUAD
TEST_0339,BRCA
TEST_0340,STES
TEST_0341,KIRC
TEST_0342,SKCM
TEST_0343,BRCA
TEST_0344,COAD
TEST_0345,SKCM
TEST_0346,COAD
TEST_0347,STES
TEST_0348,SKCM
TEST_0349,COAD
TEST_0350,COAD
TEST_0351,UCEC
TEST_0352,THCA
TEST_0353,LUAD
TEST_0354,COAD
TEST_0355,COAD
TEST_0356,STES
TEST_0357,SARC
TEST_0358,OV
TEST_0359,COAD
TEST_0360,OV
TEST_0361,LUAD
TEST_0362,STES
TEST_0363,COAD
TEST_0364,HNSC
TEST_0365,COAD
TEST_0366,KIRC
TEST_0367,TGCT
TEST_0368,STES
TEST_0369,COAD
TEST_0370,THCA
TEST_0371,SARC
TEST_0372,OV
TEST_0373,OV
TEST_0374,LAML
TEST_0375,BRCA
TEST_0376,SARC
TEST_0377,SARC
TEST_0378,OV
TEST_0379,THCA
TEST_0380,COAD
TEST_0381,COAD
TEST_0382,BRCA
TEST_0383,COAD
TEST_0384,LAML
TEST_0385,COAD
TEST_0386,UCEC
TEST_0387,PRAD
TEST_0388,PCPG
TEST_0389,KIPAN
TEST_0390,LAML
TEST_0391,LUAD
TEST_0392,KIPAN
TEST_0393,KIPAN
TEST_0394,GBMLGG
TEST_0395,LUAD
TEST_0396,STES
TEST_0397,SKCM
TEST_0398,THCA
TEST_0399,BRCA
TEST_0400,COAD
TEST_0401,PRAD
TEST_0402,COAD
TEST_0403,SKCM
TEST_0404,CESC
TEST_0405,COAD
TEST_0406,KIPAN
TEST_0407,COAD
TEST_0408,SARC
TEST_0409,THCA
TEST_0410,STES
TEST_0411,STES
TEST_0412,LUAD
TEST_0413,OV
TEST_0414,COAD
TEST_0415,KIPAN
TEST_0416,STES
TEST_0417,GBMLGG
TEST_0418,BRCA
TEST_0419,COAD
TEST_0420,BRCA
TEST_0421,KIPAN
TEST_0422,STES
TEST_0423,COAD
TEST_0424,CESC
TEST_0425,COAD
TEST_0426,COAD
TEST_0427,BRCA
TEST_0428,BRCA
TEST_0429,STES
TEST_0430,SKCM
TEST_0431,COAD
TEST_0432,PRAD
TEST_0433,OV
TEST_0434,STES
TEST_0435,LAML
TEST_0436,COAD
TEST_0437,BRCA
TEST_0438,SKCM
TEST_0439,GBMLGG
TEST_0440,COAD
TEST_0441,BRCA
TEST_0442,COAD
TEST_0443,BLCA
TEST_0444,STES
TEST_0445,LGG
TEST_0446,LAML
TEST_0447,COAD
TEST_0448,PRAD
TEST_0449,SKCM
TEST_0450,LAML
TEST_0451,PAAD
TEST_0452,COAD
TEST_0453,COAD
TEST_0454,BRCA
TEST_0455,COAD
TEST_0456,LAML
TEST_0457,STES
TEST_0458,STES
TEST_0459,KIPAN
TEST_0460,COAD
TEST_0461,KIRC
TEST_0462,BLCA
TEST_0463,STES
TEST_0464,COAD
TEST_0465,CESC
TEST_0466,COAD
TEST_0467,STES
TEST_0468,STES
TEST_0469,BRCA
TEST_0470,COAD
TEST_0471,KIPAN
TEST_0472,COAD
TEST_0473,BRCA
TEST_0474,UCEC
TEST_0475,LUAD
TEST_0476,SARC
TEST_0477,SKCM
TEST_0478,GBMLGG
TEST_0479,SARC
TEST_0480,THYM
TEST_0481,PRAD
TEST_0482,COAD
TEST_0483,KIRC
TEST_0484,BRCA
TEST_0485,KIRC
TEST_0486,LUAD
TEST_0487,COAD
TEST_0488,COAD
TEST_0489,BRCA
TEST_0490,THCA
TEST_0491,BRCA
TEST_0492,GBMLGG
TEST_0493,COAD
TEST_0494,STES
TEST_0495,CESC
TEST_0496,OV
TEST_0497,THCA
TEST_0498,THCA
TEST_0499,COAD
TEST_0500,PCPG
TEST_0501,BRCA
TEST_0502,KIRC
TEST_0503,COAD
TEST_0504,GBMLGG
TEST_0505,STES
TEST_0506,KIRC
TEST_0507,GBMLGG
TEST_0508,UCEC
TEST_0509,COAD
TEST_0510,COAD
TEST_0511,THCA
TEST_0512,KIRC
TEST_0513,BRCA
TEST_0514,ACC
TEST_0515,LUAD
TEST_0516,LUAD
TEST_0517,STES
TEST_0518,STES
TEST_0519,THCA
TEST_0520,COAD
TEST_0521,COAD
TEST_0522,KIPAN
TEST_0523,BRCA
TEST_0524,STES
TEST_0525,COAD
TEST_0526,STES
TEST_0527,LUAD
TEST_0528,BRCA
TEST_0529,THCA
TEST_0530,HNSC
TEST_0531,BRCA
TEST_0532,COAD
TEST_0533,COAD
TEST_0534,LAML
TEST_0535,BRCA
TEST_0536,BRCA
TEST_0537,TGCT
TEST_0538,BRCA
TEST_0539,BRCA
TEST_0540,STES
TEST_0541,BRCA
TEST_0542,BRCA
TEST_0543,COAD
TEST_0544,KIRC
TEST_0545,LAML
TEST_0546,STES
TEST_0547,LIHC
TEST_0548,KIRC
TEST_0549,KIPAN
TEST_0550,PCPG
TEST_0551,BLCA
TEST_0552,COAD
TEST_0553,CESC
TEST_0554,KIPAN
TEST_0555,COAD
TEST_0556,LUAD
TEST_0557,BRCA
TEST_0558,LAML
TEST_0559,COAD
TEST_0560,THCA
TEST_0561,BRCA
TEST_0562,LAML
TEST_0563,LUAD
TEST_0564,STES
TEST_0565,THCA
TEST_0566,SKCM
TEST_0567,COAD
TEST_0568,THCA
TEST_0569,SKCM
TEST_0570,COAD
TEST_0571,KIPAN
TEST_0572,KIPAN
TEST_0573,GBMLGG
TEST_0574,STES
TEST_0575,COAD
TEST_0576,LIHC
TEST_0577,BRCA
TEST_0578,STES
TEST_0579,TGCT
TEST_0580,COAD
TEST_0581,COAD
TEST_0582,COAD
TEST_0583,UCEC
TEST_0584,BRCA
TEST_0585,KIRC
TEST_0586,THCA
TEST_0587,STES
TEST_0588,COAD
TEST_0589,STES
TEST_0590,UCEC
TEST_0591,COAD
TEST_0592,LUAD
TEST_0593,STES
TEST_0594,BRCA
TEST_0595,THCA
TEST_0596,SKCM
TEST_0597,COAD
TEST_0598,BRCA
TEST_0599,COAD
TEST_0600,KIPAN
TEST_0601,COAD
TEST_0602,LAML
TEST_0603,SKCM
TEST_0604,COAD
TEST_0605,LGG
TEST_0606,COAD
TEST_0607,OV
TEST_0608,STES
TEST_0609,PRAD
TEST_0610,OV
TEST_0611,KIPAN
TEST_0612,BRCA
TEST_0613,PRAD
TEST_0614,TGCT
TEST_0615,COAD
TEST_0616,UCEC
TEST_0617,OV
TEST_0618,COAD
TEST_0619,PRAD
TEST_0620,UCEC
TEST_0621,KIPAN
TEST_0622,KIPAN
TEST_0623,LUAD
TEST_0624,LUAD
TEST_0625,COAD
TEST_0626,COAD
TEST_0627,COAD
TEST_0628,COAD
TEST_0629,STES
TEST_0630,COAD
TEST_0631,COAD
TEST_0632,COAD
TEST_0633,UCEC
TEST_0634,COAD
TEST_0635,BRCA
TEST_0636,SKCM
TEST_0637,THCA
TEST_0638,COAD
TEST_0639,COAD
TEST_0640,COAD
TEST_0641,LAML
TEST_0642,HNSC
TEST_0643,THCA
TEST_0644,PCPG
TEST_0645,COAD
TEST_0646,COAD
TEST_0647,KIPAN
TEST_0648,UCEC
TEST_0649,LGG
TEST_0650,LUAD
TEST_0651,UCEC
TEST_0652,STES
TEST_0653,COAD
TEST_0654,PRAD
TEST_0655,PRAD
TEST_0656,THCA
TEST_0657,BRCA
TEST_0658,COAD
TEST_0659,COAD
TEST_0660,COAD
TEST_0661,STES
TEST_0662,GBMLGG
TEST_0663,COAD
TEST_0664,THCA
TEST_0665,SKCM
TEST_0666,KIRC
TEST_0667,COAD
TEST_0668,COAD
TEST_0669,THCA
TEST_0670,KIPAN
TEST_0671,UCEC
TEST_0672,LAML
TEST_0673,KIPAN
TEST_0674,UCEC
TEST_0675,COAD
TEST_0676,LAML
TEST_0677,OV
TEST_0678,LUAD
TEST_0679,BRCA
TEST_0680,DLBC
TEST_0681,COAD
TEST_0682,COAD
TEST_0683,BRCA
TEST_0684,GBMLGG
TEST_0685,SARC
TEST_0686,KIPAN
TEST_0687,COAD
TEST_0688,COAD
TEST_0689,LUAD
TEST_0690,UCEC
TEST_0691,LUAD
TEST_0692,LUAD
TEST_0693,THCA
TEST_0694,SKCM
TEST_0695,KIRC
TEST_0696,LAML
TEST_0697,STES
TEST_0698,STES
TEST_0699,GBMLGG
TEST_0700,OV
TEST_0701,THCA
TEST_0702,THCA
TEST_0703,OV
TEST_0704,BRCA
TEST_0705,UCEC
TEST_0706,LGG
TEST_0707,STES
TEST_0708,KIRC
TEST_0709,LUSC
TEST_0710,PRAD
TEST_0711,KIPAN
TEST_0712,UCEC
TEST_0713,COAD
TEST_0714,TGCT
TEST_0715,BRCA
TEST_0716,GBMLGG
TEST_0717,SKCM
TEST_0718,LUAD
TEST_0719,KIRC
TEST_0720,PCPG
TEST_0721,COAD
TEST_0722,KIPAN
TEST_0723,BRCA
TEST_0724,STES
TEST_0725,LIHC
TEST_0726,COAD
TEST_0727,BRCA
TEST_0728,OV
TEST_0729,KIRC
TEST_0730,COAD
TEST_0731,COAD
TEST_0732,BLCA
TEST_0733,THCA
TEST_0734,COAD
TEST_0735,GBMLGG
TEST_0736,LAML
TEST_0737,KIPAN
TEST_0738,OV
TEST_0739,CESC
TEST_0740,KIPAN
TEST_0741,THCA
TEST_0742,UCEC
TEST_0743,LIHC
TEST_0744,COAD
TEST_0745,PRAD
TEST_0746,OV
TEST_0747,COAD
TEST_0748,BRCA
TEST_0749,COAD
TEST_0750,KIPAN
TEST_0751,COAD
TEST_0752,TGCT
TEST_0753,COAD
TEST_0754,PAAD
TEST_0755,UCEC
TEST_0756,SKCM
TEST_0757,PRAD
TEST_0758,LUAD
TEST_0759,PRAD
TEST_0760,OV
TEST_0761,BLCA
TEST_0762,UCEC
TEST_0763,COAD
TEST_0764,COAD
TEST_0765,HNSC
TEST_0766,UCEC
TEST_0767,KIPAN
TEST_0768,COAD
TEST_0769,COAD
TEST_0770,LUAD
TEST_0771,GBMLGG
TEST_0772,BRCA
TEST_0773,KIPAN
TEST_0774,KIPAN
TEST_0775,BLCA
TEST_0776,KIPAN
TEST_0777,STES
TEST_0778,STES
TEST_0779,BLCA
TEST_0780,THCA
TEST_0781,COAD
TEST_0782,STES
TEST_0783,PRAD
TEST_0784,KIPAN
TEST_0785,SARC
TEST_0786,LIHC
TEST_0787,LAML
TEST_0788,STES
TEST_0789,UCEC
TEST_0790,BRCA
TEST_0791,OV
TEST_0792,COAD
TEST_0793,KIPAN
TEST_0794,KIPAN
TEST_0795,COAD
TEST_0796,LAML
TEST_0797,LUSC
TEST_0798,PRAD
TEST_0799,COAD
TEST_0800,KIPAN
TEST_0801,KIPAN
TEST_0802,BRCA
TEST_0803,COAD
TEST_0804,UCEC
TEST_0805,HNSC
TEST_0806,CESC
TEST_0807,LUSC
TEST_0808,STES
TEST_0809,KIPAN
TEST_0810,UCEC
TEST_0811,STES
TEST_0812,KIRC
TEST_0813,STES
TEST_0814,LUAD
TEST_0815,LIHC
TEST_0816,COAD
TEST_0817,LIHC
TEST_0818,COAD
TEST_0819,PCPG
TEST_0820,COAD
TEST_0821,GBMLGG
TEST_0822,COAD
TEST_0823,KIPAN
TEST_0824,KIPAN
TEST_0825,BRCA
TEST_0826,KIPAN
TEST_0827,KIPAN
TEST_0828,BRCA
TEST_0829,COAD
TEST_0830,BRCA
TEST_0831,STES
TEST_0832,LGG
TEST_0833,THCA
TEST_0834,GBMLGG
TEST_0835,COAD
TEST_0836,KIPAN
TEST_0837,KIRC
TEST_0838,COAD
TEST_0839,KIPAN
TEST_0840,BRCA
TEST_0841,COAD
TEST_0842,THCA
TEST_0843,OV
TEST_0844,KIPAN
TEST_0845,PAAD
TEST_0846,GBMLGG
TEST_0847,STES
TEST_0848,STES
TEST_0849,BLCA
TEST_0850,LUAD
TEST_0851,COAD
TEST_0852,BRCA
TEST_0853,STES
TEST_0854,KIPAN
TEST_0855,LAML
TEST_0856,PRAD
TEST_0857,BRCA
TEST_0858,LUAD
TEST_0859,COAD
TEST_0860,KIRC
TEST_0861,STES
TEST_0862,COAD
TEST_0863,COAD
TEST_0864,LAML
TEST_0865,PRAD
TEST_0866,LUSC
TEST_0867,BLCA
TEST_0868,COAD
TEST_0869,KIRC
TEST_0870,COAD
TEST_0871,COAD
TEST_0872,SARC
TEST_0873,BRCA
TEST_0874,COAD
TEST_0875,KIPAN
TEST_0876,COAD
TEST_0877,STES
TEST_0878,PRAD
TEST_0879,THCA
TEST_0880,LAML
TEST_0881,STES
TEST_0882,COAD
TEST_0883,SKCM
TEST_0884,LGG
TEST_0885,PRAD
TEST_0886,GBMLGG
TEST_0887,BRCA
TEST_0888,COAD
TEST_0889,COAD
TEST_0890,COAD
TEST_0891,OV
TEST_0892,COAD
TEST_0893,TGCT
TEST_0894,GBMLGG
TEST_0895,SKCM
TEST_0896,STES
TEST_0897,KIPAN
TEST_0898,LAML
TEST_0899,PRAD
TEST_0900,STES
TEST_0901,OV
TEST_0902,KIPAN
TEST_0903,STES
TEST_0904,TGCT
TEST_0905,LUAD
TEST_0906,SKCM
TEST_0907,SKCM
TEST_0908,SKCM
TEST_0909,COAD
TEST_0910,STES
TEST_0911,LAML
TEST_0912,PAAD
TEST_0913,SKCM
TEST_0914,CESC
TEST_0915,COAD
TEST_0916,STES
TEST_0917,LIHC
TEST_0918,COAD
TEST_0919,LUAD
TEST_0920,PRAD
TEST_0921,CESC
TEST_0922,SKCM
TEST_0923,LUAD
TEST_0924,KIPAN
TEST_0925,KIRC
TEST_0926,COAD
TEST_0927,BRCA
TEST_0928,SKCM
TEST_0929,KIRC
TEST_0930,UCEC
TEST_0931,BRCA
TEST_0932,DLBC
TEST_0933,COAD
TEST_0934,STES
TEST_0935,THCA
TEST_0936,STES
TEST_0937,COAD
TEST_0938,LGG
TEST_0939,COAD
TEST_0940,KIPAN
TEST_0941,COAD
TEST_0942,BRCA
TEST_0943,UCEC
TEST_0944,OV
TEST_0945,COAD
TEST_0946,UCEC
TEST_0947,GBMLGG
TEST_0948,KIPAN
TEST_0949,COAD
TEST_0950,ACC
TEST_0951,LGG
TEST_0952,COAD
TEST_0953,UCEC
TEST_0954,LAML
TEST_0955,UCEC
TEST_0956,UCEC
TEST_0957,SKCM
TEST_0958,BRCA
TEST_0959,COAD
TEST_0960,KIRC
TEST_0961,CESC
TEST_0962,SKCM
TEST_0963,COAD
TEST_0964,PAAD
TEST_0965,KIPAN
TEST_0966,COAD
TEST_0967,UCEC
TEST_0968,COAD
TEST_0969,COAD
TEST_0970,COAD
TEST_0971,TGCT
TEST_0972,COAD
TEST_0973,KIRC
TEST_0974,BRCA
TEST_0975,LGG
TEST_0976,LGG
TEST_0977,COAD
TEST_0978,OV
TEST_0979,LAML
TEST_0980,STES
TEST_0981,KIPAN
TEST_0982,LAML
TEST_0983,LUAD
TEST_0984,KIPAN
TEST_0985,STES
TEST_0986,UCEC
TEST_0987,GBMLGG
TEST_0988,BRCA
TEST_0989,SKCM
TEST_0990,SARC
TEST_0991,PAAD
TEST_0992,GBMLGG
TEST_0993,LUAD
TEST_0994,LIHC
TEST_0995,BLCA
TEST_0996,COAD
TEST_0997,BRCA
TEST_0998,LUAD
TEST_0999,UCEC
TEST_1000,SKCM
TEST_1001,COAD
TEST_1002,BRCA
TEST_1003,COAD
TEST_1004,KIRC
TEST_1005,LIHC
TEST_1006,COAD
TEST_1007,COAD
TEST_1008,HNSC
TEST_1009,KIPAN
TEST_1010,STES
TEST_1011,STES
TEST_1012,PRAD
TEST_1013,KIPAN
TEST_1014,COAD
TEST_1015,BRCA
TEST_1016,PRAD
TEST_1017,LIHC
TEST_1018,BRCA
TEST_1019,COAD
TEST_1020,TGCT
TEST_1021,TGCT
TEST_1022,PRAD
TEST_1023,LAML
TEST_1024,UCEC
TEST_1025,LUAD
TEST_1026,BRCA
TEST_1027,COAD
TEST_1028,BRCA
TEST_1029,KIPAN
TEST_1030,GBMLGG
TEST_1031,COAD
TEST_1032,KIPAN
TEST_1033,PRAD
TEST_1034,PAAD
TEST_1035,GBMLGG
TEST_1036,SKCM
TEST_1037,GBMLGG
TEST_1038,STES
TEST_1039,LIHC
TEST_1040,COAD
TEST_1041,COAD
TEST_1042,BRCA
TEST_1043,KIPAN
TEST_1044,SKCM
TEST_1045,BLCA
TEST_1046,KIPAN
TEST_1047,OV
TEST_1048,BRCA
TEST_1049,COAD
TEST_1050,STES
TEST_1051,COAD
TEST_1052,COAD
TEST_1053,KIPAN
TEST_1054,COAD
TEST_1055,LAML
TEST_1056,BRCA
TEST_1057,KIPAN
TEST_1058,PRAD
TEST_1059,BRCA
TEST_1060,COAD
TEST_1061,KIRC
TEST_1062,STES
TEST_1063,UCEC
TEST_1064,STES
TEST_1065,PRAD
TEST_1066,SARC
TEST_1067,OV
TEST_1068,SARC
TEST_1069,KIPAN
TEST_1070,ACC
TEST_1071,KIRC
TEST_1072,KIRC
TEST_1073,COAD
TEST_1074,UCEC
TEST_1075,SKCM
TEST_1076,CESC
TEST_1077,UCEC
TEST_1078,PRAD
TEST_1079,COAD
TEST_1080,UCEC
TEST_1081,SKCM
TEST_1082,SARC
TEST_1083,PAAD
TEST_1084,GBMLGG
TEST_1085,LAML
TEST_1086,COAD
TEST_1087,BRCA
TEST_1088,SKCM
TEST_1089,SARC
TEST_1090,LGG
TEST_1091,BRCA
TEST_1092,SARC
TEST_1093,PRAD
TEST_1094,COAD
TEST_1095,KIPAN
TEST_1096,CESC
TEST_1097,COAD
TEST_1098,BRCA
TEST_1099,GBMLGG
TEST_1100,COAD
TEST_1101,SARC
TEST_1102,PRAD
TEST_1103,STES
TEST_1104,BRCA
TEST_1105,COAD
TEST_1106,THCA
TEST_1107,LGG
TEST_1108,ACC
TEST_1109,HNSC
TEST_1110,SARC
TEST_1111,BRCA
TEST_1112,LGG
TEST_1113,KIPAN
TEST_1114,KIPAN
TEST_1115,BRCA
TEST_1116,LGG
TEST_1117,BRCA
TEST_1118,PRAD
TEST_1119,COAD
TEST_1120,COAD
TEST_1121,PCPG
TEST_1122,SKCM
TEST_1123,UCEC
TEST_1124,COAD
TEST_1125,COAD
TEST_1126,UCEC
TEST_1127,KIPAN
TEST_1128,KIPAN
TEST_1129,COAD
TEST_1130,GBMLGG
TEST_1131,UCEC
TEST_1132,KIPAN
TEST_1133,COAD
TEST_1134,STES
TEST_1135,LUAD
TEST_1136,LGG
TEST_1137,STES
TEST_1138,UCEC
TEST_1139,PCPG
TEST_1140,KIPAN
TEST_1141,STES
TEST_1142,COAD
TEST_1143,PAAD
TEST_1144,COAD
TEST_1145,SKCM
TEST_1146,BRCA
TEST_1147,COAD
TEST_1148,COAD
TEST_1149,COAD
TEST_1150,BRCA
TEST_1151,COAD
TEST_1152,COAD
TEST_1153,STES
TEST_1154,STES
TEST_1155,LGG
TEST_1156,COAD
TEST_1157,LUAD
TEST_1158,STES
TEST_1159,COAD
TEST_1160,GBMLGG
TEST_1161,COAD
TEST_1162,STES
TEST_1163,SKCM
TEST_1164,STES
TEST_1165,STES
TEST_1166,COAD
TEST_1167,BRCA
TEST_1168,KIPAN
TEST_1169,HNSC
TEST_1170,KIRC
TEST_1171,BRCA
TEST_1172,STES
TEST_1173,COAD
TEST_1174,BRCA
TEST_1175,SARC
TEST_1176,LAML
TEST_1177,GBMLGG
TEST_1178,COAD
TEST_1179,SKCM
TEST_1180,LGG
TEST_1181,PRAD
TEST_1182,GBMLGG
TEST_1183,PRAD
TEST_1184,KIPAN
TEST_1185,UCEC
TEST_1186,COAD
TEST_1187,COAD
TEST_1188,STES
TEST_1189,KIPAN
TEST_1190,COAD
TEST_1191,THCA
TEST_1192,TGCT
TEST_1193,COAD
TEST_1194,KIPAN
TEST_1195,COAD
TEST_1196,BRCA
TEST_1197,THCA
TEST_1198,STES
TEST_1199,TGCT
TEST_1200,OV
TEST_1201,BRCA
TEST_1202,KIRC
TEST_1203,UCEC
TEST_1204,KIPAN
TEST_1205,LGG
TEST_1206,COAD
TEST_1207,CESC
TEST_1208,UCEC
TEST_1209,STES
